;France métropolitaine;France métropolitaine;France métropolitaine;Ile-de-France;Ile-de-France;Ile-de-France;Centre-Val de Loire;Centre-Val de Loire;Centre-Val de Loire;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Normandie;Normandie;Normandie;Hauts de France;Hauts de France;Hauts de France;Grand Est;Grand Est;Grand Est;Pays-de-la-Loire;Pays-de-la-Loire;Pays-de-la-Loire;Bretagne;Bretagne;Bretagne;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Occitanie;Occitanie;Occitanie;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Corse;Corse;Corse
Cultures;Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t)
Orge de printemps;489.478;62.4426511508178;3056.4304;45.31;69.425513131759;314.567;81.85;64.8277336591326;530.615;38.79;55.5867491621552;215.621;8.95;62.6368715083799;56.06;52.6;67.8041825095057;356.65;208.92;62.8005935286234;1312.03;5.19;49.3872832369942;25.632;8.8;55.4545454545455;48.8;25.978;54.7177226884287;142.1457;6.53;44.1937212863706;28.8585;3.345;37.1031390134529;12.411;3.215;40.5604976671851;13.0402;0;0;0
Avoine;107.387;47.3564025440696;508.5462;3.3;62.7545454545455;20.709;12.37;46.8245755860954;57.922;20.17;45.5503222607833;91.875;10.19;58.1736997055937;59.279;6.97;60.5035868005739;42.171;9.985;49.6239359038558;49.5495;6.245;49.9727782225781;31.208;10.37;54.725168756027;56.75;11.565;40.1193255512322;46.398;9.39;31.2145899893504;29.3105;4.975;37.7306532663317;18.771;1.726;25;4.315;0.131;22;0.2882
Avoine d'hiver;67.931;47.9260131604128;325.5662;1.98;62.8333333333333;12.441;10.32;47.0901162790698;48.597;12.985;45.6669233731228;59.2985;7.35;58.469387755102;42.975;1.71;60.8479532163743;10.405;2.2;50.0772727272727;11.017;5.225;51.3760765550239;26.844;9;55.9444444444444;50.35;8.825;40.5450424929179;35.781;5.38;30.5185873605948;16.419;2.385;42.1404612159329;10.0505;0.44;25;1.1;0.131;22;0.2882
Avoine de printemps;39.456;46.3757096512571;182.98;1.32;62.6363636363636;8.268;2.05;45.4878048780488;9.325;7.185;45.33959638135;32.5765;2.84;57.4084507042254;16.304;5.26;60.3916349809886;31.766;7.785;49.4958253050739;38.5325;1.02;42.7843137254902;4.364;1.37;46.7153284671533;6.4;2.74;38.7481751824818;10.617;4.01;32.1483790523691;12.8915;2.59;33.6698841698842;8.7205;1.286;25;3.215;0;0;0
Maïs grain;1387.924;92.5745890985385;12848.6494;35.7;94.6708683473389;337.975;115.15;95.6956144159791;1101.935;70.97;84.1983936874736;597.556;21.73;83.9012885411873;182.3175;48.93;95.5166564479869;467.363;189.83;89.2134962861508;1693.5398;123.98;86.4652847233425;1071.9966;120.02;93.7343776037327;1125;406.082;92.7693569279111;3767.1966;126.36;100.193138651472;1266.0405;127.29;95.5773430748684;1216.604;1.23;109.731707317073;13.497;0.652;117;7.6284
Maïs semences;58.607;36.6166498882386;214.5992;0;0;0;2.27;68.352422907489;15.516;0.69;84.8115942028986;5.852;0.035;70;0.245;0;0;0;0.85;21.8588235294118;1.858;6.29;36.0143084260731;22.653;0.037;32.2972972972973;0.1195;20.19;38.5269935611689;77.786;16.87;30.2676348547718;51.0615;10.473;34.2695502721283;35.8905;0.902;40.1075388026608;3.6177;0;0;0
Sorgho;58.083;55.2630890277706;320.9846;0.17;73;1.241;8.33;57.6962785114046;48.061;1.335;81.0374531835206;10.8185;0.13;60;0.78;0.03;55;0.165;0.933;49.8124330117899;4.6475;2.935;57.763202725724;16.9535;0.284;65.1056338028169;1.849;14.875;52.1112605042017;77.5155;20.96;54.3914599236641;114.0045;6.36;57.5408805031447;36.596;1.637;49.1209529627367;8.0411;0.104;30;0.312
Triticale;297.761;50.6563653399874;1508.349;1.72;63.5581395348837;10.932;22.23;51.382816014395;114.224;29.875;38.0828451882845;113.7725;7.05;56.3049645390071;39.695;2.72;65.8602941176471;17.914;17.435;60.44995698308;105.3945;35.12;58.188069476082;204.3565;27;63.1481481481482;170.5;69.02;47.530136192408;328.053;31.45;41.9073131955485;131.7985;50.985;50.9203687359027;259.6175;2.936;39.0854904632153;11.4755;0.22;28;0.616
Autres céréales;147.129;35.7347089968667;525.7612;0.71;47.0281690140845;3.339;26.2;31.5229007633588;82.59;5.03;50;25.15;2.635;48.2258064516129;12.7075;0.73;62.0821917808219;4.532;4.375;44.032;19.264;19.09;62.1500785751703;118.6445;10;33.42;33.42;34.215;38.3290954259828;131.143;33.035;18.0099894051763;59.496;10.61;32.679547596607;34.673;0.45;15.2488888888889;0.6862;0.049;23.6734693877551;0.116
Riz;14.085;51.586084487043;72.659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.085;54;16.659;0;0;0;11;50.9090909090909;56;0;0;0
Oléagineux;2277.003;28.1406093887448;6407.6252;80.17;32.286266683298;258.839;365.79;29.7587140162388;1088.544;239.115;28.2562574493445;675.6495;134.068;31.6268609959125;424.015;164.49;33.5178430299714;551.335;352.952;30.9774416917881;1093.355;117.33;25.2922100059661;296.7535;51.19;33.9787067786677;173.937;371.858;23.1096708958796;859.3516;299.674;23.3702389930391;700.3453;90.156;29.4635964328497;265.632;10.176;19.4642295597484;19.8068;0.034;18.0882352941176;0.0615
Colza;1529.603;30.1672937356948;4614.3983;77.94;32.5003849114704;253.308;296.555;30.7379744060967;911.55;181.15;29.3006348330113;530.781;133;31.6466165413534;420.9;162.32;33.6915968457368;546.882;314.055;31.1220805272962;977.4045;85.165;25.369048317971;216.0555;50.395;34.1482289909713;172.09;131.265;23.4361406315469;307.6345;49.84;25.8620585874799;128.8965;46.63;31.2989491743513;145.947;1.288;22.8982919254658;2.9493;0;0;0
Colza d'hiver;1527.557;30.1720204221512;4608.9481;77.78;32.5012856775521;252.795;296.4;30.7375168690958;911.06;181.01;29.3004806364289;530.368;133;31.6466165413534;420.9;162;33.6932098765432;545.83;313.87;31.1290343135693;977.047;84.935;25.4010125390004;215.7435;50;34.157;170.785;130.92;23.4392758936755;306.867;49.75;25.8702512562814;128.7045;46.63;31.2989491743513;145.947;1.262;22.9881141045959;2.9011;0;0;0
Colza de printemps;2.046;26.6383186705767;5.4502;0.16;32.0625;0.513;0.155;31.6129032258064;0.49;0.14;29.5;0.413;0;0;0;0.32;32.875;1.052;0.185;19.3243243243243;0.3575;0.23;13.5652173913043;0.312;0.395;33.0379746835443;1.305;0.345;22.2463768115942;0.7675;0.09;21.3333333333333;0.192;0;0;0;0.026;18.5384615384615;0.0482;0;0;0
Tournesol;562.136;23.6274816058747;1328.1858;1.09;28.3394495412844;3.089;58.855;26.2380426471838;154.424;16.185;29.4124189063948;47.604;0.568;25;1.42;0.59;23.4745762711864;1.385;24.85;31.5710261569416;78.454;28.38;25.7369626497534;73.0415;0.075;20.6666666666667;0.155;205.88;22.4198562269283;461.58;191.26;22.3598766077591;427.655;26.18;24.5080213903743;64.162;8.208;18.4981725146199;15.1833;0.015;22;0.033
Soja;148.754;26.7321618242199;397.6516;0.39;28;1.092;2.31;22.5151515151515;5.201;32.77;25.5178516936222;83.622;0;0;0;0.06;40;0.24;11.845;28.2777543267201;33.495;0.51;22.6862745098039;1.157;0.045;30.2222222222222;0.136;30.2;26.6867549668874;80.594;53.7;25.5371508379888;137.1345;16.385;32.6801953005798;53.5465;0.539;26.5974025974026;1.4336;0;0;0
Autres oléagineux;36.51;18.457819775404;67.3895;0.75;18;1.35;8.07;21.5229244114002;17.369;9.01;15.1415094339623;13.6425;0.5;33.9;1.695;1.52;18.6052631578947;2.828;2.202;18.1721162579473;4.0015;3.275;19.8458015267176;6.4995;0.675;23.0518518518519;1.556;4.513;21.1458010192776;9.5431;4.874;13.6629052113254;6.6593;0.961;20.5671175858481;1.9765;0.141;17.063829787234;0.2406;0.019;15;0.0285
Protéagineux;263.512;34.4580626309238;908.0113;13.365;37.5907220351665;50.24;38.495;32.4982465255228;125.102;22.02;43.0567665758402;94.811;27.39;39.3300474625776;107.725;21.99;39.7639836289222;87.441;32.695;39.8421777030127;130.264;18.845;35.371185990979;66.657;9.5;39.9263157894737;37.93;45.562;28.9766911022343;132.0236;25.765;21.1932854647778;54.6045;5.695;28.937664618086;16.48;2.083;21.7676428228517;4.5342;0.107;18.5981308411215;0.199
Féveroles (et fèves);66.992;28.3797617625985;190.1217;6.115;31.5077677841374;19.267;10.9;24.7706422018349;27;3.13;19.538338658147;6.1155;7.5;42.9266666666667;32.195;3.39;42.2448377581121;14.321;3.305;33.4009077155824;11.039;7.15;29.7041958041958;21.2385;3.6;37.5555555555556;13.52;10.487;24.2391532373415;25.4196;9.94;16.4703219315895;16.3715;0.95;23.6052631578947;2.2425;0.493;26.9391480730223;1.3281;0.032;20;0.064
Pois protéagineux;191.455;36.8445378809642;705.4071;7.22;42.7950138504155;30.898;27.35;35.6563071297989;97.52;18.79;47.1077700904737;88.5155;19.8;37.989898989899;75.22;18.6;39.3118279569893;73.12;29.3;40.6655290102389;119.15;10.81;40.1988899167438;43.455;5.3;42.2452830188679;22.39;32.32;30.8680383663366;99.7655;15.67;24.2584556477345;38.013;4.63;30.2786177105832;14.019;1.59;20.1641509433962;3.2061;0.075;18;0.135
Lupin doux;5.065;24.64461994077;12.4825;0.03;25;0.075;0.245;23.7551020408163;0.582;0.1;18;0.18;0.09;34.4444444444444;0.31;0;0;0;0.09;8.33333333333333;0.075;0.885;22.1864406779661;1.9635;0.6;33.6666666666667;2.02;2.755;24.8221415607985;6.8385;0.155;14.1935483870968;0.22;0.115;19;0.2185;0;0;0;0;0;0
Betteraves industrielles;484.012;0;0;50.01;0;0;34.1;0;0;2.637;0;0;41.5;0;0;233.8;0;0;115.41;0;0;1.025;0;0;0;0;0;0;0;0;0;0;0;5.53;0;0;0;0;0;0;0;0
Pommes de terre de féculerie;25.71;490.630882924932;1261.412;0.86;510;43.86;0;0;0;0;0;0;0.73;433.150684931507;31.62;18.36;501.019607843137;919.872;5.76;461.909722222222;266.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pommes de terre de conservation et demi-saison;145.398;443.841428355273;6453.3656;3.702;494.30037817396;182.99;13.04;474.850460122699;619.205;0.8;460;36.8;11.58;457.672711571675;529.985;90.64;453.01147396293;4106.096;13.935;488.496591316828;680.72;0.64;301.2890625;19.2825;5.455;257.745187901008;140.6;2.378;260;61.828;0.846;0;0;1.844;245.759219088937;45.318;0.538;386.544609665428;20.7961;0;0;0
Maïs fourrage;1394.605;127.509114050215;17782.4848;1.42;107.978873239437;15.333;32.4;101.141975308642;327.7;53.11;131.450574279797;698.134;232.9;136.77114641477;3185.4;103.65;148.376266280753;1537.92;142.84;110.25901708205;1574.9398;250.61;124.06831331551;3109.276;322;140.217391304348;4515;125.11;123.386979458077;1543.6945;41.53;94.658198892367;393.1155;88.45;99.1308083663087;876.812;0.46;85;3.91;0.125;100;1.25
