;France métropolitaine;France métropolitaine;France métropolitaine;Ile-de-France;Ile-de-France;Ile-de-France;Centre-Val de Loire;Centre-Val de Loire;Centre-Val de Loire;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Normandie;Normandie;Normandie;Hauts de France;Hauts de France;Hauts de France;Grand Est;Grand Est;Grand Est;Pays-de-la-Loire;Pays-de-la-Loire;Pays-de-la-Loire;Bretagne;Bretagne;Bretagne;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Occitanie;Occitanie;Occitanie;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Corse;Corse;Corse
Cultures;Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t)
Avoine;106.577;45.122718785479;480.9044;2.795;57.4436493738819;16.0555;9.81;46.6401630988787;45.754;18.71;40.1945483698557;75.204;9.88;55.7348178137652;55.066;7.89;60.5728770595691;47.792;16.8;44.1785714285714;74.22;5.595;61.0214477211796;34.1415;6.805;49.8824393828068;33.945;11.428;38.8649807490374;44.4149;10.285;31.2907146329606;32.1825;4.685;36.9967982924226;17.333;1.772;25;4.43;0.122;30;0.366
Avoine d'hiver;60.765;45.9263227186703;279.0713;1.03;57.8009708737864;5.9535;7.895;47.5364154528182;37.53;10.96;40.6943430656934;44.601;7.36;56.3192934782609;41.451;1.74;60.7701149425287;10.574;3.61;44.8365650969529;16.186;4.845;62.0949432404541;30.085;5.65;50.141592920354;28.33;8.59;39.1807916181607;33.6563;5.59;32.1261180679785;17.9585;2.515;40.6958250497018;10.235;0.858;25;2.145;0.122;30;0.366
Avoine de printemps;45.812;44.0568191740155;201.8331;1.765;57.2351274787535;10.102;1.915;42.9451697127937;8.224;7.75;39.4877419354839;30.603;2.52;54.0277777777778;13.615;6.15;60.5170731707317;37.218;13.19;43.9984836997726;58.034;0.75;54.0866666666667;4.0565;1.155;48.6147186147186;5.615;2.838;37.9090909090909;10.7586;4.695;30.2960596379127;14.224;2.17;32.7096774193548;7.098;0.914;25;2.285;0;0;0
Seigle;41.771;43.8757511191975;183.2734;0.86;59.4244186046512;5.1105;6.33;57.5560821484992;36.433;4.87;31.2792607802875;15.233;0.81;34;2.754;2.13;63.5399061032864;13.534;4.48;41.1897321428572;18.453;1.84;55.0217391304348;10.124;1.02;32.2156862745098;3.286;4.406;38.9911484339537;17.1795;4.7;34.0697872340426;16.0128;9.905;44.303886925795;43.883;0.42;30.252380952381;1.2706;0;0;0
Triticale;332.468;51.7643382220244;1720.9986;3.605;64.3453536754508;23.1965;26.82;50.0721476510067;134.2935;37.78;49.1209634727369;185.579;8.17;53.0416156670747;43.335;4.3;65.6488372093023;28.229;23.9;57.1255230125523;136.53;35.34;60.3576683644595;213.304;30.8;59.6753246753247;183.8;69.925;47.0171469431534;328.7674;31.67;41.7356173034417;132.1767;57.355;52.4283846220905;300.703;2.666;39.5217554388597;10.5365;0.137;40;0.548
Autres céréales;181.421;38.1262533003346;691.6903;1.115;46.780269058296;5.216;28.58;31.8383484954514;90.994;10.55;42.2369668246446;44.56;5.94;39.2020202020202;23.286;1.37;62.3138686131387;8.537;9.495;43.3059505002633;41.119;21.07;70.7205505457997;149.0082;11.4;36.1754385964912;41.24;35.73;38.6360761265043;138.0467;34.445;22.7291334010742;78.2905;19.955;34.3816086193936;68.6085;1.726;15.6361529548088;2.6988;0.045;19.0222222222222;0.0856
Riz;12.172;54.1183043049622;65.8728;0;0;0;0;0;0;0;;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;;0;2.13;54.6760563380282;11.646;0;;0;10.042;54;54.2268;0;0;0
Maïs grain;1413.42;98.1394574860976;13871.2272;43.905;94.5540371256121;415.1395;120.57;99.9285892012939;1204.839;66.15;91.8004535147392;607.26;32.42;82.5576804441703;267.652;65.96;91.4680109157065;603.323;159.395;103.00831268233;1641.901;161.18;91.939961533689;1481.8883;137.95;90.4624864081189;1247.93;388.204;100.199709431124;3889.7928;122.92;104.377237227465;1283.005;112.165;107.164445236928;1202.01;2.094;97.4336198662846;20.4026;0.507;120;6.084
Maïs semences;79.726;36.7907332614204;293.3178;0;0;0;2.62;30.736641221374;8.053;1.15;94.2608695652174;10.84;0;;0;0;;0;0.88;26;2.288;7.79;39.5738125802311;30.828;0;0;0;30.325;38.8484748557296;117.808;24.71;32.5839740995548;80.515;11.161;34.9641609174805;39.0235;1.09;36.351376146789;3.9623;0;0;0
Sorgho;84.835;59.6700064831732;506.2105;2.195;72;15.804;12.4;58.5048387096774;72.546;6.575;66.6;43.7895;1.79;52.4413407821229;9.387;1.5;55;8.25;1.57;44.3821656050955;6.968;4.19;59.9284009546539;25.11;0.55;59.9090909090909;3.295;18.618;59.2703834998389;110.3496;26.135;59.8002678400612;156.288;7.505;63.201199200533;47.4325;1.765;38.728045325779;6.8355;0.042;37;0.1554
