;France métropolitaine;France métropolitaine;France métropolitaine;Ile-de-France;Ile-de-France;Ile-de-France;Centre-Val de Loire;Centre-Val de Loire;Centre-Val de Loire;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Normandie;Normandie;Normandie;Hauts de France;Hauts de France;Hauts de France;Grand Est;Grand Est;Grand Est;Pays-de-la-Loire;Pays-de-la-Loire;Pays-de-la-Loire;Bretagne;Bretagne;Bretagne;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Occitanie;Occitanie;Occitanie;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Corse;Corse;Corse
Cultures;Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t)
Céréales;9371.794;75.7028714032767;70947.1716;374.05;84.0118433364523;3142.463;1291.985;73.9643455612875;9556.0825;759.06;67.489401364846;5122.8505;640.76;85.7414788688432;5493.971;1058.57;92.1036776028038;9749.819;1388.713;77.2670450985913;10730.175;676.58;75.7986638682787;5128.386;588.074;77.4372306886548;4553.8822;1271.682;74.7745356150358;9508.9431;746.199;60.2020546797838;4492.2713;510.355;62.5149709515925;3190.4828;64.372;41.5853632013919;267.6933;1.394;72.8256814921091;10.1519
Blé tendre;4982.472;79.2036180032723;39462.9809;219.2;87.7034443430657;1922.4595;664.96;76.3165303176131;5074.744;380.95;69.754967843549;2657.3155;467.055;89.6220466540343;4185.8425;821.3;94.5024960428589;7761.49;710.198;77.8789548830045;5530.9478;387.625;77.9624998387617;3022.0214;300.6;79.7045908183633;2395.92;517.505;74.3125573665955;3845.712;286.755;61.1587592195428;1753.758;217.157;58.990684159387;1281.024;9.104;34.6284050966608;31.5257;0.063;35;0.2205
Blé tendre d'hiver;4968.123;79.232735381149;39363.7975;218.39;87.7032831173588;1915.352;663.92;76.3266809254127;5067.481;379.025;69.7610975529319;2644.12;466.1;89.6520060072946;4178.68;819.9;94.5016465422613;7748.19;706.6;77.8856495895839;5503.4;387.215;77.9841276810041;3019.6624;299.93;79.7202680625479;2391.05;516.605;74.3255872475102;3839.697;286.185;61.1807047888604;1750.9;215.965;59.1078183964994;1276.522;8.225;34.6779331306991;28.5226;0.063;35;0.2205
Blé tendre de printemps;14.349;69.1221687922503;99.1834;0.81;87.7469135802469;7.1075;1.04;69.8365384615385;7.263;1.925;68.5480519480519;13.1955;0.955;75;7.1625;1.4;95;13.3;3.598;76.5642023346303;27.5478;0.41;57.5365853658537;2.359;0.67;72.6865671641791;4.87;0.9;66.8333333333333;6.015;0.57;50.140350877193;2.858;1.192;37.7684563758389;4.502;0.879;34.164960182025;3.0031;0;0;0
Blé dur;249.939;61.8304026182388;1545.3829;2.28;71.5657894736842;16.317;67.365;72.4750983448378;488.2285;0.855;65.2923976608187;5.5825;0.685;60;4.11;0.49;69;3.381;0.452;50.4756637168142;2.2815;22.86;74.9531933508312;171.343;0;0;0;32.761;71.4476664326486;234.0697;92.325;54.3952342269158;502.204;8.747;54.0362409969132;47.2655;21.109;33.4289639490265;70.5652;0.01;35;0.035
Blé dur d'hiver;242.899;61.8769035689731;1502.9838;2.08;71.5288461538462;14.878;64.6;72.6996904024768;469.64;0.79;65.4240506329114;5.1685;0.685;60;4.11;0.45;69;3.105;0.385;50.6103896103896;1.9485;21.38;76.2004209541628;162.9165;0;0;0;31.634;71.4426882468231;226.0018;91.92;54.4229765013055;500.256;8.747;54.0362409969132;47.2655;20.218;33.4647343950935;67.659;0.01;35;0.035
Blé dur de printemps;7.04;60.2259943181818;42.3991;0.2;71.95;1.439;2.765;67.2278481012658;18.5885;0.065;63.6923076923077;0.414;0;0;0;0.04;69;0.276;0.067;49.7014925373134;0.333;1.48;56.9358108108108;8.4265;0;0;0;1.127;71.5874001774623;8.0679;0.405;48.0987654320988;1.948;0;0;0;0.891;32.6172839506173;2.9062;0;0;0
Seigle;28.592;47.652245383324;136.2473;0.27;63.4259259259259;1.7125;4.66;58.6523605150215;27.332;2.655;47.6949152542373;12.663;0.33;55;1.815;1;69.51;6.951;1.87;46.5294117647059;8.701;1.405;61.644128113879;8.661;0.685;45.6934306569343;3.13;3.205;41.5553822152886;13.3185;4.07;34.5749385749386;14.072;8.152;45.3796614327772;36.9935;0.29;30.9586206896552;0.8978;0;0;0
Orge;1941.596;70.9140856285241;13768.6505;102.385;78.5273233383796;804.002;331.75;73.5457422758101;2439.88;235.5;65.2301698513801;1536.1705;124.005;77.2958348453691;958.507;169.3;83.2522150029533;1409.46;458.285;71.9884569645526;3299.123;79.69;71.5177939515623;569.9253;95.56;71.1071578066136;679.5;157.395;64.9710918390038;1022.6125;108;55.9267592592592;604.009;67.672;58.207899869961;393.9045;11.764;42.9630227813669;50.5417;0.29;35;1.015
Orge d'hiver;1304.298;71.0663629017295;9269.1715;41.2;78.4126213592233;323.06;216.25;72.4277456647399;1566.25;164.49;67.7140251687033;1113.828;109.955;78.6228002364604;864.497;108.1;85.6938020351527;926.35;210.99;73.4138110810939;1548.958;73.81;72.0427042406178;531.7472;87.02;72.7993564697771;633.5;122.95;64.3143147620984;790.7445;98.85;56.8164896307537;561.631;62.635;59.7737686596951;374.393;7.758;42.7916988914669;33.1978;0.29;35;1.015
Orge de printemps;637.298;70.6024340261541;4499.479;61.185;78.6045599411621;480.942;115.5;75.638961038961;873.63;71.01;59.4764821856077;422.3425;14.05;66.9110320284697;94.01;61.2;78.9395424836601;483.11;247.295;70.7723569016761;1750.165;5.88;64.9287414965986;38.1781;8.54;53.864168618267;46;34.445;67.3154303962839;231.868;9.15;46.3147540983607;42.378;5.037;38.7363510025809;19.5115;4.006;43.2948077883175;17.3439;0;0;0
Avoine;86.642;46.6669398213338;404.3317;2.165;62;13.423;7.2;47.9875;34.551;12.88;39.7934782608696;51.254;7.315;59.1660970608339;43.28;7.1;66.3985915492958;47.143;10.133;46.5280765814665;47.1469;4.62;60.0194805194805;27.729;8.04;52.363184079602;42.1;10.798;42.1423411742915;45.5053;9.685;31.9034589571502;30.8985;4.912;34.110342019544;16.755;1.672;25;4.18;0.122;30;0.366
Avoine d'hiver;49.08;47.5181132844336;233.2189;0.775;62;4.805;5.33;49.1519699812383;26.198;6.255;40.1007194244604;25.083;5.29;59.5519848771267;31.503;1.58;67.1772151898734;10.614;1.988;47.0241448692153;9.3484;3.98;61.0502512562814;24.298;7.16;52.9329608938547;37.9;8.515;42.2595419847328;35.984;5.455;32.0916590284143;17.506;2.029;39.9753573188763;8.111;0.601;25;1.5025;0.122;30;0.366
Avoine de printemps;37.562;45.5547627921836;171.1128;1.39;62;8.618;1.87;44.668449197861;8.353;6.625;39.5033962264151;26.171;2.025;58.158024691358;11.777;5.52;66.1757246376812;36.529;8.145;46.4069981583794;37.7985;0.64;53.609375;3.431;0.88;47.7272727272727;4.2;2.283;41.7052124397722;9.5213;4.23;31.660756501182;13.3925;2.883;29.9826569545612;8.644;1.071;25;2.6775;0;0;0
Maïs grain;1441.718;87.3230826000647;12589.526;43.575;82.5269076305221;359.611;140.7;83.0528784648188;1168.554;78.82;77.9240040598833;614.197;29.26;81.0375939849624;237.116;54.44;89.3108008817046;486.208;179.7;93.656388425153;1683.0053;109.705;81.4506175652887;893.554;142.93;84.9114951374799;1213.64;408.005;90.1390056494406;3677.7165;134.184;89.6880999224945;1203.4708;117.576;87.1039157651221;1024.133;2.181;94.5272810637322;20.6164;0.642;120;7.704
dont maïs grain irrigué;535.297;105.216560152588;5632.2109;2.26;98.9601769911504;22.365;95.4;101.510482180294;968.41;12.63;94.0150435471101;118.741;0;0;0;1.46;97.8972602739726;14.293;44.55;128.271604938272;571.45;38.96;97.1990503080082;378.6875;0.73;90.958904109589;6.64;181.715;109.517155986022;1990.091;103.869;96.1320990863491;998.5145;50.9;105.048821218075;534.6985;2.181;94.5272810637322;20.6164;0.642;120;7.704
