;France métropolitaine;France métropolitaine;France métropolitaine;Ile-de-France;Ile-de-France;Ile-de-France;Centre-Val de Loire;Centre-Val de Loire;Centre-Val de Loire;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Normandie;Normandie;Normandie;Hauts de France;Hauts de France;Hauts de France;Grand Est;Grand Est;Grand Est;Pays-de-la-Loire;Pays-de-la-Loire;Pays-de-la-Loire;Bretagne;Bretagne;Bretagne;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Occitanie;Occitanie;Occitanie;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Corse;Corse;Corse
Maïs semences;64.622;33.8345145616044;218.6454;0;0;0;2.27;30.5947136563877;6.945;0.69;83.0724637681159;5.732;0;0;0;0;0;0;0.92;28;2.576;8.225;35.6565349544073;29.3275;0.039;28.7692307692308;0.1122;23.07;37.2427394885132;85.919;17.88;29.6224832214765;52.965;10.59;29.6423040604344;31.3912;0.938;39.2057569296375;3.6775;0;0;0
Sorgho;83.491;50.694326334575;423.252;0.245;74;1.813;17.61;49.9823963657013;88.019;5.15;62.7582524271845;32.3205;0.34;60;2.04;0.15;53.6666666666667;0.805;1.635;46.5535168195719;7.6115;4.23;56.1820330969267;23.765;0.41;50.7317073170732;2.08;19.583;52.4948169330542;102.8006;23.355;46.8921001926782;109.5165;8.634;51.1408385452861;44.155;2.087;39.0028749401054;8.1399;0.062;30;0.186
Triticale;305.664;54.0274615263819;1651.425;3.05;62;18.91;24.75;53.0040404040404;131.185;33.37;51.2085705723704;170.883;6.97;58.8608321377331;41.026;3.13;73.4728434504792;22.997;19.81;62.4871277132761;123.787;33.755;64.7684787438898;218.626;28.52;61.4305750350631;175.2;65.1;52.7821812596006;343.612;33.585;41.1987494417151;138.366;51.082;50.2869895462198;256.876;2.392;39.4314381270903;9.432;0.15;35;0.525
Autres céréales;172.66;38.5042163790108;664.8138;0.88;47.8977272727273;4.215;30.72;31.4596354166667;96.644;8.19;44.8504273504273;36.7325;4.8;42.1552083333333;20.2345;1.66;68.578313253012;11.384;5.71;43.7740805604203;24.995;24.465;66.803106478643;163.4338;11.29;37.378210806023;42.2;34.26;40.1859311150029;137.677;33.485;20.0683888308198;67.199;15.833;36.6229394303038;57.9851;1.312;15.3467987804878;2.0135;0.055;18.2545454545455;0.1004
Riz;14.398;56.8940825114599;81.9161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.875;55;15.8125;0;0;0;11.523;57.3666579883711;66.1036;0;0;0
Oléagineux;1903.293;27.534835151498;5240.6859;54.43;30.3250964541613;165.0595;277.953;26.6071961806492;739.555;182.26;24.6222155162954;448.7645;123.6;34.7909385113269;430.016;142.47;36.3122762686881;517.341;291.925;28.614370129314;835.325;103.07;29.2244105947414;301.216;52.136;35.4277274819702;184.706;318.417;24.4917482420851;779.8589;271.165;23.0894842623495;626.106;75.056;25.6344063099552;192.4016;10.799;18.8150754699509;20.3184;0.012;15;0.018
Colza;1105.064;31.1056246516039;3437.3706;47.76;30.635364321608;146.3145;183.728;29.3934784028564;540.0405;103.14;26.9011537715726;277.4585;122.175;34.8642111724985;425.9535;139.94;36.5237244533372;511.113;246.87;29.4905618341637;728.0335;67.375;32.6249350649351;219.8105;51.24;35.6576893052303;182.71;76.338;29.1528072519584;222.5467;34.47;29.0831157528286;100.2495;30.729;26.2239903674054;80.5837;1.299;19.6820631254811;2.5567;0;0;0
Colza d'hiver;1102.731;31.1083936154874;3430.419;47.685;30.6359442172591;146.0875;183.67;29.3941852234987;539.883;103.065;26.9021491291903;277.267;122.12;34.8641500163773;425.761;139.7;36.5204008589835;510.19;246.7;29.4904742602351;727.53;67.16;32.6637135199524;219.3695;50.52;35.7284243863816;180.5;75.738;29.1550344609047;220.8144;34.36;29.0810535506403;99.9225;30.729;26.2239903674054;80.5837;1.284;19.5514018691589;2.5104;0;0;0
Colza de printemps;2.333;29.7968281183026;6.9516;0.075;30.2666666666667;0.227;0.058;27.1551724137931;0.1575;0.075;25.5333333333333;0.1915;0.055;35;0.1925;0.24;38.4583333333333;0.923;0.17;29.6176470588235;0.5035;0.215;20.5116279069767;0.441;0.72;30.6944444444444;2.21;0.6;28.8716666666667;1.7323;0.11;29.7272727272727;0.327;0;0;0;0.015;30.8666666666667;0.0463;0;0;0
Tournesol;603.769;21.9988787102352;1328.2241;3.925;30.1630573248408;11.839;82.37;21.1466553356805;174.185;37.2;20.4948924731183;76.241;0.855;25;2.1375;1.23;24.0487804878049;2.958;30.455;22.8075849614185;69.4605;32.735;23.0429204215671;75.431;0.253;20.5928853754941;0.521;200.272;22.3870586003036;448.3501;176.865;21.6919967206627;383.6555;29.049;23.368962787015;67.8845;8.56;18.178738317757;15.561;0;0;0
Soja;162.886;25.549703473595;416.1689;1.965;28;5.502;4.92;21.8780487804878;10.764;34.195;25.2417020032168;86.314;0.07;25;0.175;0.24;40;0.96;12.795;26.7721766314967;34.255;0.605;23.0578512396694;1.395;0.115;25.304347826087;0.291;36.591;26.370254980733;96.4914;56.265;24.1450279925353;135.852;14.452;29.3437586493219;42.4076;0.673;26.1797919762259;1.7619;0;0;0
Autres oléagineux;31.574;18.6616519921454;58.9223;0.78;18;1.404;6.935;21.0028839221341;14.5655;7.725;11.3281553398058;8.751;0.5;35;1.75;1.06;21.7924528301887;2.31;1.805;19.8116343490305;3.576;2.355;19.4458598726115;4.5795;0.528;22.4242424242424;1.184;5.216;23.9085506134969;12.4707;3.565;17.8092566619916;6.349;0.826;18.4721549636804;1.5258;0.267;16.434456928839;0.4388;0.012;15;0.018
Protéagineux;238.641;36.7664567278883;877.3984;13.08;43.8073394495413;57.3;36.86;35.7691264243082;131.845;24.97;34.5500600720865;86.2715;15.55;41.532154340836;64.5825;21.3;45.4507042253521;96.81;32.222;39.4038234746447;126.967;16.575;40.3722473604827;66.917;8.22;36.0583941605839;29.64;36.707;36.790203503419;135.0458;27.075;24.8380424746076;67.249;5.274;24.9019719378081;13.1333;0.798;20.2794486215539;1.6183;0.01;19;0.019
Féveroles (et fèves);63.026;27.584568273411;173.8545;4.515;31.0963455149502;14.04;11.63;26.4041272570937;30.708;4.44;21.1677927927928;9.3985;3.805;39.8318002628121;15.156;3.5;37.1714285714286;13.01;3.11;29.5659163987138;9.195;5.635;38.5909494232476;21.746;3.38;31.6863905325444;10.71;10.906;24.0272327159362;26.2041;10.795;19.7489578508569;21.319;1.124;16.6485765124555;1.8713;0.181;26.8839779005525;0.4866;0.005;20;0.01
Pois protéagineux;172.706;40.3185123852095;696.3249;8.565;50.507880910683;43.26;25.01;40.2131147540984;100.573;20.49;37.4494875549048;76.734;11.63;42.1702493551161;49.044;17.8;47.0786516853933;83.8;29.022;40.5027220729102;117.547;10.365;42.3164495899662;43.861;4.57;39.7155361050328;18.15;24.499;43.0519204865505;105.4729;16.095;28.3842808325567;45.6845;4.038;27.384348687469;11.0578;0.617;18.3419773095624;1.1317;0.005;18;0.009
Lupin doux;2.909;24.8160880027501;7.219;0;0;0;0.22;25.6363636363636;0.564;0.04;34.75;0.139;0.115;33.2608695652174;0.3825;0;0;0;0.09;25;0.225;0.575;22.7826086956522;1.31;0.27;28.8888888888889;0.78;1.302;25.8740399385561;3.3688;0.185;13.2702702702703;0.2455;0.112;18.2321428571429;0.2042;0;0;0;0;0;0
Betteraves industrielles;444.765;839.003878452666;37315.956;45.09;799.558660456864;3605.21;31.32;850.419859514687;2663.515;2.74;650;178.1;37.985;886.17875477162;3366.15;214.4;871.618470149254;18687.5;107.395;791.69979980446;8502.46;1.195;678;81.021;0;0;0;0;0;0;0;0;0;4.64;500;232;0;0;0;0;0;0
Pommes de terre de féculerie;22.43;410.477039679001;920.7;0.91;466.483516483516;42.45;0;0;0;0;0;0;1.04;372.307692307692;38.72;15.13;414.923992068738;627.78;5.35;395.794392523364;211.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pommes de terre de conservation et demi-saison;152.814;425.150529401756;6496.8953;3.572;470;167.884;12.63;465.577988915281;588.025;0.85;450;38.25;12.385;393.66976180864;487.56;97.89;435.25160894882;4260.678;14.355;464.611633577151;666.95;0.93;297.731182795699;27.689;4.71;244.16135881104;115;2.347;277.774179804005;65.1936;0.605;267.471074380165;16.182;1.924;215.831600831601;41.526;0.616;356.456168831169;21.9577;0;0;0
Maïs fourrage;1422.328;114.085883143691;16226.7546;1.495;101.675585284281;15.2005;37.95;67.8642951251647;257.545;54.935;122.119686902703;670.8645;229.595;132.864718308326;3050.5075;102.2;155.988258317025;1594.2;148.295;93.8032570214775;1391.0554;278.455;104.195112316173;2901.365;290.15;118.90401516457;3450;133.705;114.053999476459;1524.959;43.48;90.6860855565777;394.3031;101.518;95.7649874899033;972.187;0.425;78.0611764705882;3.3176;0.125;100;1.25
Jachères;477.082;0;0;18.227;0;0;87.715;0;0;30.865;0;0;9.05;0;0;20.63;0;0;;;;11.615;0;0;7.81;0;0;119.035;0;0;90.535;0;0;23.84;0;0;18.8;0;0;1.4;0;0
